Nghĩa vụ pháp luật,,,,,,,,,,
Tên văn bản,Số văn bản,Số điều khoản,Ngày hiệu lực,Nghĩa vụ pháp luật,Hành động Techcombank cần thực hiện,Có bắt buộc hay không,Chủ thể tương tác,Chủ thể hoạt động,Nhóm nghĩa vụ,Lý do nhóm nghĩa vụ
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,6.2,01/01/2021,"Điều 6.2. Chính sách phát triển thị trường chứng khoán
2. Nhà nước có chính sách quản lý, giám sát bảo đảm thị trường chứng khoán hoạt động công bằng, công khai, minh bạch, an toàn và hiệu quả.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,6.3,01/01/2021,"Điều 6.3. Chính sách phát triển thị trường chứng khoán
3. Nhà nước có chính sách đầu tư hiện đại hóa cơ sở hạ tầng, công nghệ thông tin cho hoạt động của thị trường chứng khoán, phát triển nguồn nhân lực cho ngành chứng khoán, tuyên truyền, phổ biến kiến thức về chứng khoán và thị trường chứng khoán.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,7.1,01/01/2021,"Điều 7.1. Biện pháp bảo đảm an ninh, an toàn thị trường chứng khoán
1. Biện pháp bảo đảm an ninh, an toàn thị trường chứng khoán bao gồm:a) Giám sát an ninh, an toàn thị trường chứng khoán;b) Ứng phó, khắc phục sự cố, sự kiện, biến động ảnh hưởng đến an toàn, ổn định và tính toàn vẹn của thị trường chứng khoán;c) Tạm ngừng, đình chỉ giao dịch đối với một hoặc một số chứng khoán niêm yết, đăng ký giao dịch trên hệ thống giao dịch chứng khoán;d) Tạm ngừng, đình chỉ một phần hoặc toàn bộ hoặc khôi phục hoạt động giao dịch của Sở giao dịch chứng khoán Việt Nam và công ty con;đ) Tạm ngừng, đình chỉ một phần hoặc toàn bộ hoặc khôi phục hoạt động đăng ký, lưu ký, bù trừ, thanh toán chứng khoán của Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con HYPERLINK \l ""_ftn3"" [3];e) Cấm đảm nhiệm chức vụ tại công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh công ty chứng khoán và công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán có thời hạn hoặc vĩnh viễn, cấm thực hiện các hoạt động về chứng khoán và thị trường chứng khoán có thời hạn hoặc vĩnh viễn do thực hiện hành vi bị nghiêm cấm trong hoạt động về chứng khoán và thị trường chứng khoán;g) Phong tỏa tài khoản chứng khoán, yêu cầu người có thẩm quyền phong tỏa tài khoản tiền có liên quan đến hành vi vi phạm pháp luật về chứng khoán và thị trường chứng khoán.",,,,TCB,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,7.2,01/01/2021,"Điều 7.2. Biện pháp bảo đảm an ninh, an toàn thị trường chứng khoán
2. Chính phủ quy định chi tiết việc áp dụng các biện pháp bảo đảm an ninh, an toàn thị trường chứng khoán quy định tại khoản 1 Điều này.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,8.1,01/01/2021,"Điều 8.1. Quản lý nhà nước về chứng khoán và thị trường chứng khoán
1. Chính phủ thống nhất quản lý nhà nước về chứng khoán và thị trường chứng khoán.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,8.2,01/01/2021,"Điều 8.2. Quản lý nhà nước về chứng khoán và thị trường chứng khoán
2. Bộ Tài chính chịu trách nhiệm trước Chính phủ thực hiện quản lý nhà nước về chứng khoán và thị trường chứng khoán và có các nhiệm vụ, quyền hạn sau đây:a) Trình Chính phủ, Thủ tướng Chính phủ ban hành chiến lược, kế hoạch, đề án, chính sách phát triển thị trường chứng khoán;b) Trình cấp có thẩm quyền ban hành hoặc ban hành theo thẩm quyền các văn bản quy phạm pháp luật về chứng khoán và thị trường chứng khoán;c) Chỉ đạo Ủy ban Chứng khoán Nhà nước thực hiện chiến lược, kế hoạch, đề án, chính sách phát triển thị trường chứng khoán và các văn bản quy phạm pháp luật về chứng khoán và thị trường chứng khoán.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,8.3,01/01/2021,"Điều 8.3. Quản lý nhà nước về chứng khoán và thị trường chứng khoán
3. Bộ, cơ quan ngang Bộ, trong phạm vi nhiệm vụ, quyền hạn của mình, có trách nhiệm phối hợp với Bộ Tài chính thực hiện quản lý nhà nước về chứng khoán và thị trường chứng khoán.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,8.4,01/01/2021,"Điều 8.4. Quản lý nhà nước về chứng khoán và thị trường chứng khoán
4. Ủy ban nhân dân các cấp, trong phạm vi nhiệm vụ, quyền hạn của mình, có trách nhiệm thực hiện quản lý nhà nước về chứng khoán và thị trường chứng khoán tại địa phương.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,9.1,01/01/2021,"Điều 9.1. Ủy ban Chứng khoán Nhà nước
1. Ủy ban Chứng khoán Nhà nước là cơ quan thuộc Bộ Tài chính thực hiện chức năng tham mưu, giúp Bộ trưởng Bộ Tài chính quản lý nhà nước về chứng khoán và thị trường chứng khoán, tổ chức thực thi pháp luật về chứng khoán và thị trường chứng khoán theo phân cấp, ủy quyền của Bộ trưởng Bộ Tài chính và có các nhiệm vụ, quyền hạn sau đây:a) Trình Bộ trưởng Bộ Tài chính ban hành hoặc để trình cấp có thẩm quyền ban hành các văn bản quy phạm pháp luật về chứng khoán và thị trường chứng khoán, chiến lược, kế hoạch, đề án, chính sách phát triển thị trường chứng khoán;b) Tổ chức, phát triển thị trường chứng khoán; trực tiếp quản lý, giám sát hoạt động về chứng khoán và thị trường chứng khoán; quản lý các hoạt động dịch vụ về chứng khoán và thị trường chứng khoán theo quy định của pháp luật;c) Cấp, cấp lại, gia hạn, điều chỉnh, thu hồi giấy phép, chứng chỉ hành nghề chứng khoán và giấy chứng nhận liên quan đến hoạt động về chứng khoán và thị trường chứng khoán; chấp thuận những thay đổi, đình chỉ, hủy bỏ liên quan đến hoạt động về chứng khoán và thị trường chứng khoán;d) HYPERLINK \l ""_ftn4"" [4] Quản lý, thanh tra, kiểm tra, giám sát hoạt động nghiệp vụ chứng khoán của Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con; chấp thuận các quy chế nghiệp vụ của Sở giao dịch chứng khoán Việt Nam, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam; yêu cầu Sở giao dịch chứng khoán Việt Nam, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam sửa đổi quy chế nghiệp vụ; đình chỉ, hủy bỏ quyết định liên quan đến hoạt động nghiệp vụ của Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con; chỉ đạo Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con thực hiện các nhiệm vụ liên quan đến hoạt động nghiệp vụ trong trường hợp cần thiết để bảo vệ quyền và lợi ích hợp pháp của nhà đầu tư;đ) Chấp thuận việc đưa vào giao dịch các loại chứng khoán mới, thay đổi và áp dụng phương thức giao dịch mới, chấp thuận hệ thống giao dịch chứng khoán và đưa vào vận hành hệ thống giao dịch chứng khoán mới;e) Quản lý, giám sát hoạt động liên quan đến chứng khoán và thị trường chứng khoán của các tổ chức, cá nhân;g) Thanh tra, kiểm tra, giải quyết khiếu nại, tố cáo và xử lý vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán;h) Báo cáo Bộ Tài chính để báo cáo Thủ tướng Chính phủ, Chính phủ về tình hình hoạt động của thị trường chứng khoán. Trường hợp có biến động lớn ảnh hưởng đến an ninh, an toàn thị trường chứng khoán, Ủy ban Chứng khoán Nhà nước có trách nhiệm kịp thời báo cáo Bộ Tài chính, đồng thời báo cáo Chính phủ, Thủ tướng Chính phủ về tình hình thị trường và các giải pháp để ổn định thị trường và bảo đảm an ninh, an toàn tài chính;i) Thực hiện theo thẩm quyền hoặc trình cấp có thẩm quyền thực hiện các biện pháp bảo đảm an ninh, an toàn thị trường chứng khoán;k) Thực hiện thống kê, dự báo về hoạt động chứng khoán và thị trường chứng khoán; hiện đại hóa công nghệ thông tin trong lĩnh vực chứng khoán và thị trường chứng khoán;l) Tổ chức, phối hợp với các cơ quan, tổ chức liên quan đào tạo, bồi dưỡng đội ngũ cán bộ, công chức, viên chức ngành chứng khoán và người hành nghề chứng khoán; tuyên truyền, phổ biến kiến thức về chứng khoán và thị trường chứng khoán cho công chúng;m) Ban hành văn bản hướng dẫn chuyên môn, nghiệp vụ, văn bản khác thuộc phạm vi quản lý của Ủy ban Chứng khoán Nhà nước;n) Giám sát tổ chức xã hội - nghề nghiệp về chứng khoán trong việc thực hiện mục đích, tôn chỉ, Điều lệ hoạt động;o) Thực hiện chế độ báo cáo về chứng khoán và thị trường chứng khoán theo quy định của pháp luật;p) Thực hiện hợp tác quốc tế và làm đầu mối thực hiện các cam kết quốc tế trong lĩnh vực chứng khoán và thị trường chứng khoán mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên;q) Nhiệm vụ, quyền hạn khác theo quy định của Luật này và quy định khác của pháp luật có liên quan.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,9.2,01/01/2021,"Điều 9.2. Ủy ban Chứng khoán Nhà nước
2. Chức năng, nhiệm vụ, quyền hạn cụ thể và cơ cấu tổ chức của Ủy ban Chứng khoán Nhà nước do Thủ tướng Chính phủ quy định.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,9.3,01/01/2021,"Điều 9.3. Ủy ban Chứng khoán Nhà nước
3. Cán bộ, công chức, viên chức của Ủy ban Chứng khoán Nhà nước trong khi thực hiện nhiệm vụ, quyền hạn của mình có trách nhiệm bảo đảm trung thực, bảo mật thông tin, tuân thủ quy định của pháp luật về chứng khoán và thị trường chứng khoán và quy định khác của pháp luật có liên quan.",,,,,,
"Luật chứng khoán luật chứng khoán số 54/2019/qh14 ngày 26 tháng 11 năm 2019 của quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: luật số 56/2024/qh15 ngày 29 tháng 11 năm 2024 của quốc hội sửa đổi, bổ sung một số điều của luật chứng khoán, luật kế toán, luật kiểm toán độc lập, luật ngân sách nhà nước, luật quản lý, sử dụng tài sản công, luật quản lý thuế, luật thuế thu nhập cá nhân, luật dự trữ quốc gia, luật xử lý vi phạm hành chính, có hiệu lực kể từ ngày 01 tháng 01 năm 2025.",24/VBHN-VPQH,10.1,01/01/2021,"Điều 10.1. Tổ chức xã hội - nghề nghiệp về chứng khoán
1. Tổ chức xã hội - nghề nghiệp về chứng khoán được thành lập, hoạt động theo quy định của pháp luật về hội, có trách nhiệm tuân thủ quy định của pháp luật về chứng khoán và thị trường chứng khoán và chịu sự giám sát của Ủy ban Chứng khoán Nhà nước.",,,,,,
